,Budget,Profit
694,30000000,-15981636
695,30000000,-15791616
696,20000000,-15765960
697,35000000,-15705099
698,16000000,-15682875
699,40000000,-15667676
700,32000000,-15622726
701,52000000,-15614237
702,24000000,-15572796
703,23000000,-15565274
704,55000000,-15559345
705,35000000,-15552522
706,150000000,-15481610
707,17000000,-15430082
708,16000000,-15365723
709,35000000,-15307392
710,69500000,-15278000
711,38000000,-15229136
712,15300000,-15218475
713,15500000,-15186564
714,15500000,-15182960
715,22000000,-15147856
716,52000000,-15116461
717,30000000,-15111972
718,17000000,-15000000
719,20000000,-14994117
720,15000000,-14979620
721,15000000,-14976909
722,15000000,-14971130
723,52000000,-14964155
724,25000000,-14930000
725,15000000,-14926452
726,170000000,-14888185
727,25000000,-14885685
728,40000000,-14882502
729,20000000,-14867345
730,30000000,-14843800
731,50000000,-14831605
732,40000000,-14821835
733,15000000,-14816912
734,18000000,-14796956
735,20000000,-14794657
736,35000000,-14724554
737,17000000,-14684317
738,25000000,-14675559
739,20000000,-14666342
740,40000000,-14664065
741,15000000,-14646257
742,150000000,-14618493
743,15000000,-14600121
744,35000000,-14577793
745,37000000,-14549025
746,16000000,-14491311
747,15000000,-14386444
748,24000000,-14360758
749,105000000,-14353446
750,16000000,-14333738
751,15500000,-14318803
752,16000000,-14313571
753,34000000,-14306109
754,20000000,-14298357
755,18000000,-14292206
756,30000000,-14290615
757,25000000,-14280633
758,20000000,-14250866
759,18000000,-14247275
760,25000000,-14230040
761,32000000,-14202684
762,90000000,-14182006
763,21000000,-14169043
764,31000000,-14168495
765,14200000,-14125795
766,25000000,-14088250
767,70000000,-14057170
768,80000000,-14051289
769,61000000,-14024817
770,16000000,-14015257
771,60000000,-14003282
772,20000000,-13997244
773,25000000,-13991568
774,15000000,-13960131
775,38000000,-13955468
776,14000000,-13953505
777,14000000,-13936740
778,14000000,-13924922
779,175000000,-13912817
780,25000000,-13900000
781,14000000,-13884496
782,35000000,-13870652
783,26000000,-13811358
784,27000000,-13751523
785,18000000,-13749680
786,26000000,-13723190
787,15000000,-13705360
788,15000000,-13642958
789,40000000,-13595247
790,160000000,-13594629
791,18000000,-13585465
792,18000000,-13585465
793,16000000,-13571117
794,24000000,-13568780
795,18000000,-13564917
796,25000000,-13461796
797,20000000,-13436643
798,69000000,-13414611
799,13500000,-13414567
800,55000000,-13390407
801,40000000,-13383001
802,32000000,-13363463
803,58000000,-13334037
804,19430000,-13320925
805,13500000,-13313646
806,127000000,-13266274
807,13400000,-13236409
808,35000000,-13215568
809,14000000,-13200000
810,16000000,-13150858
811,30000000,-13069116
812,15000000,-13046268
813,15000000,-13045798
814,14000000,-13000000
815,13000000,-12976053
816,40000000,-12946185
817,17000000,-12931913
818,45000000,-12904682
819,30000000,-12879981
820,44000000,-12863050
821,23500000,-12803790
822,15000000,-12796359
823,13000000,-12785034
824,30000000,-12733495
825,20000000,-12731341
826,13000000,-12698695
827,13000000,-12663533
828,27000000,-12662421
829,20000000,-12617007
830,65000000,-12602611
831,40000000,-12600000
832,15000000,-12587955
833,50000000,-12513862
834,22000000,-12471908
835,20000000,-12436000
836,55000000,-12390000
837,23000000,-12339853
838,40000000,-12336018
839,22000000,-12305895
840,18000000,-12305599
841,30000000,-12249417
842,14000000,-12247786
843,26000000,-12170266
844,21000000,-12144354
845,35000000,-12122192
846,18000000,-12112543
847,35000000,-12086323
848,29000000,-12069815
849,17000000,-12069202
850,30000000,-12048569
851,18500000,-12037424
852,20000000,-12000000
853,18000000,-12000000
854,13000000,-11975825
855,25000000,-11961340
856,20000000,-11945720
857,12000000,-11934196
858,20000000,-11906682
859,20000000,-11895931
860,12000000,-11880078
861,12000000,-11858147
862,13000000,-11849597
863,19000000,-11843275
864,125000000,-11834365
865,13000000,-11827231
866,12000000,-11824630
867,135000000,-11792806
868,12000000,-11785798
869,55000000,-11752860
870,30000000,-11747316
871,12000000,-11738519
872,30000000,-11701351
873,12800000,-11689814
874,12000000,-11666024
875,16000000,-11643257
876,24000000,-11627590
877,78000000,-11537400
878,26000000,-11530572
879,14000000,-11526000
880,20000000,-11500000
881,30000000,-11499034
882,23000000,-11491577
883,120000000,-11478165
884,40000000,-11464232
885,12000000,-11451066
886,20000000,-11413624
887,12500000,-11410555
888,50000000,-11409500
889,11400000,-11386249
890,19400000,-11352310
891,25000000,-11348338
892,12500000,-11272676
893,28000000,-11220364
894,16000000,-11160617
895,12000000,-11139998
896,11350000,-11120689
897,20000000,-11111645
898,38000000,-11096291
899,30000000,-11032429
900,25000000,-11026468
901,25000000,-11026468
902,27000000,-11011124
903,24000000,-11000000
904,15000000,-10993094
905,13000000,-10964434
906,17000000,-10938241
907,40000000,-10922453
908,25000000,-10904697
909,14000000,-10899350
910,80000000,-10897090
911,13000000,-10896000
912,20000000,-10890678
913,40000000,-10886412
914,25000000,-10825346
915,50000000,-10822459
916,23000000,-10810486
917,23000000,-10810486
918,15000000,-10806975
919,12000000,-10802214
920,15000000,-10764163
921,150000000,-10740241
922,35000000,-10723500
923,100000000,-10703427
924,30000000,-10683354
925,28000000,-10675256
926,22000000,-10673164
927,25000000,-10665355
928,48000000,-10660475
929,11000000,-10647214
930,15000000,-10639452
931,34000000,-10639221
932,40000000,-10625822
933,19000000,-10603058
934,15000000,-10514515
935,25000000,-10500000
936,12000000,-10493002
937,17500000,-10482822
938,20000000,-10474724
939,22000000,-10439741
940,25000000,-10410556
941,25000000,-10362510
942,25000000,-10362510
943,12000000,-10297723
944,20000000,-10285518
945,15000000,-10265765
946,140000000,-10265197
947,17000000,-10265156
948,18000000,-10260951
949,65000000,-10241539
950,80000000,-10227031
951,50000000,-10221401
952,12000000,-10220716
953,23000000,-10217492
954,40000000,-10197239
955,18000000,-10162368
956,28000000,-10151678
957,17000000,-10144863
958,56000000,-10139961
959,48000000,-10120004
960,16000000,-10100000
961,15000000,-10043599
962,25000000,-10016428
963,18000000,-10000000
964,10000000,-9996393
965,10000000,-9994439
966,26000000,-9994022
967,10000000,-9984553
968,23000000,-9980747
969,10000000,-9980652
970,15000000,-9976725
971,60000000,-9975917
972,12000000,-9939047
973,25000000,-9908458
974,35000000,-9906393
975,10000000,-9871514
976,10000000,-9868383
977,13000000,-9830576
978,36000000,-9816803
979,60000000,-9810821
980,40000000,-9800895
981,15000000,-9782502
982,12000000,-9777353
983,10000000,-9773208
984,22000000,-9767063
985,35000000,-9733871
986,58000000,-9708376
987,14000000,-9708035
988,15000000,-9693553
989,10000000,-9693285
990,12000000,-9673593
991,10000000,-9634266
992,52000000,-9561700
993,10000000,-9552250
994,10000000,-9550442
995,22000000,-9530189
996,9600000,-9528558
997,10000000,-9511128
998,18000000,-9491157
999,10000000,-9468991
1000,20000000,-9455857
1001,60000000,-9450893
1002,20000000,-9444652
1003,9500000,-9441786
1004,20000000,-9430929
1005,10000000,-9421473
1006,10000000,-9401355
1007,45000000,-9382401
1008,65000000,-9362320
1009,26000000,-9352616
1010,15000000,-9297917
1011,63000000,-9284389
1012,14000000,-9258013
1013,18000000,-9257739
1014,88000000,-9252415
1015,85000000,-9245330
1016,22000000,-9215287
